N=20 and K=3,,,,,
Virtual cost,Physical cost,Optimal Cost,vCost/OptimalCost,pCost/OptimalCost,Sequence
39,33,21,1.85714285714286,1.57142857142857,"[9, 7, 9, 7, 6, 9, 7, 6, 7, 7, 15, 18, 17, 17, 17, 20, 19, 18, 18, 19]"
31,31,22,1.40909090909091,1.40909090909091,"[6, 8, 7, 7, 8, 7, 8, 7, 7, 7, 17, 20, 19, 16, 17, 18, 16, 19, 19, 18]"
30,18,18,1.66666666666667,1,"[7, 7, 8, 7, 7, 8, 8, 7, 7, 7, 20, 19, 19, 19, 16, 19, 17, 20, 20, 19]"
22,20,18,1.22222222222222,1.11111111111111,"[7, 6, 7, 8, 9, 9, 7, 7, 9, 8, 20, 19, 19, 20, 17, 19, 19, 19, 17, 17]"
37,29,14,2.64285714285714,2.07142857142857,"[7, 8, 7, 10, 9, 7, 7, 8, 9, 9, 19, 19, 16, 18, 18, 18, 17, 18, 18, 18]"
48,36,21,2.28571428571429,1.71428571428571,"[7, 7, 8, 7, 10, 9, 9, 6, 8, 9, 16, 17, 18, 18, 18, 18, 17, 16, 19, 19]"
29,17,14,2.07142857142857,1.21428571428571,"[6, 8, 7, 8, 7, 9, 9, 8, 8, 7, 18, 18, 18, 19, 18, 17, 17, 19, 18, 18]"
41,31,23,1.78260869565217,1.34782608695652,"[7, 8, 9, 7, 8, 6, 10, 8, 9, 8, 17, 19, 17, 18, 17, 19, 19, 18, 18, 19]"
28,28,25,1.12,1.12,"[7, 7, 9, 6, 8, 7, 9, 9, 9, 7, 19, 17, 19, 20, 17, 20, 19, 20, 18, 17]"
29,23,19,1.52631578947368,1.21052631578947,"[8, 8, 8, 8, 8, 7, 7, 8, 7, 8, 16, 16, 18, 20, 17, 17, 20, 18, 17, 17]"
88,68,49,1.79591836734694,1.38775510204082,"[10, 9, 9, 8, 6, 7, 8, 9, 6, 9, 8, 9, 5, 9, 8, 6, 10, 8, 7, 8, 6, 7, 9, 9, 10, 18, 17, 16, 19, 17, 17, 17, 16, 20, 18, 18, 17, 17, 19, 19, 18, 18, 19, 15, 19, 19, 15, 18, 19, 19]"
74,50,41,1.80487804878049,1.21951219512195,"[9, 8, 8, 9, 9, 9, 9, 7, 8, 8, 8, 9, 7, 11, 8, 6, 7, 9, 8, 9, 6, 8, 8, 7, 8, 15, 18, 17, 19, 19, 18, 17, 19, 19, 19, 17, 17, 19, 18, 17, 17, 16, 18, 18, 17, 18, 18, 17, 19, 19]"
55,45,30,1.83333333333333,1.5,"[9, 7, 9, 7, 9, 8, 8, 7, 8, 9, 7, 8, 8, 9, 8, 8, 8, 9, 8, 8, 8, 9, 9, 8, 8, 18, 17, 20, 19, 20, 18, 18, 17, 19, 18, 18, 18, 16, 19, 17, 18, 18, 19, 20, 18, 17, 19, 18, 18, 18]"
75,61,43,1.74418604651163,1.41860465116279,"[7, 7, 9, 8, 9, 6, 7, 8, 6, 8, 7, 7, 7, 7, 7, 7, 9, 7, 8, 9, 8, 7, 7, 9, 7, 20, 19, 17, 20, 18, 17, 18, 18, 17, 19, 17, 20, 19, 18, 19, 18, 15, 19, 20, 18, 18, 17, 16, 17, 19]"
59,55,36,1.63888888888889,1.52777777777778,"[7, 7, 8, 6, 7, 8, 8, 8, 8, 10, 9, 9, 8, 7, 9, 8, 8, 8, 8, 8, 9, 9, 7, 9, 9, 18, 17, 17, 18, 18, 16, 19, 19, 16, 19, 17, 17, 19, 18, 19, 18, 17, 19, 17, 18, 18, 17, 19, 18, 16]"
52,44,32,1.625,1.375,"[8, 9, 7, 10, 9, 10, 8, 8, 9, 8, 7, 8, 9, 7, 9, 9, 7, 7, 7, 9, 8, 9, 9, 8, 7, 19, 18, 19, 18, 17, 18, 18, 17, 17, 19, 19, 19, 19, 19, 17, 17, 18, 20, 19, 18, 18, 18, 19, 19, 19]"
66,56,34,1.94117647058824,1.64705882352941,"[8, 7, 8, 7, 8, 8, 6, 8, 7, 7, 10, 7, 7, 9, 10, 10, 8, 9, 8, 6, 8, 8, 8, 8, 6, 18, 19, 19, 18, 17, 16, 19, 19, 17, 20, 17, 18, 18, 17, 19, 17, 18, 17, 17, 17, 18, 19, 19, 19, 17]"
82,62,40,2.05,1.55,"[7, 7, 7, 8, 8, 8, 9, 8, 8, 7, 9, 8, 7, 7, 9, 8, 8, 6, 9, 7, 8, 10, 7, 9, 6, 18, 16, 17, 18, 20, 18, 17, 18, 19, 17, 19, 19, 17, 19, 17, 18, 17, 19, 18, 16, 17, 20, 17, 17, 18]"
49,43,33,1.48484848484848,1.3030303030303,"[8, 8, 8, 8, 8, 8, 9, 10, 7, 8, 7, 8, 8, 8, 9, 8, 8, 9, 8, 8, 10, 9, 7, 7, 7, 19, 18, 18, 16, 17, 18, 17, 18, 19, 18, 19, 19, 18, 18, 18, 19, 16, 17, 18, 18, 18, 18, 17, 19, 17]"
68,48,40,1.7,1.2,"[7, 8, 8, 9, 7, 8, 6, 8, 9, 8, 9, 10, 7, 9, 8, 7, 6, 9, 8, 9, 7, 9, 7, 8, 7, 18, 18, 17, 18, 19, 19, 19, 18, 17, 19, 19, 19, 17, 17, 17, 19, 18, 18, 17, 18, 18, 18, 19, 19, 17]"
105,69,51,2.05882352941176,1.35294117647059,"[9, 6, 8, 7, 8, 8, 7, 8, 8, 8, 7, 9, 10, 8, 7, 8, 7, 9, 9, 8, 9, 6, 8, 7, 8, 6, 9, 8, 8, 8, 8, 7, 8, 9, 8, 6, 7, 7, 8, 7, 6, 9, 9, 8, 7, 11, 10, 7, 8, 8, 18, 19, 18, 19, 19, 19, 18, 19, 19, 18, 18, 19, 17, 18, 16, 18, 17, 18, 18, 19, 18, 17, 18, 17, 18]"
81,53,39,2.07692307692308,1.35897435897436,"[8, 7, 9, 8, 7, 9, 6, 7, 9, 7, 9, 9, 6, 6, 8, 9, 8, 9, 9, 8, 9, 9, 7, 10, 10, 7, 8, 6, 7, 6, 8, 9, 9, 8, 8, 5, 8, 9, 9, 8, 9, 7, 7, 9, 8, 8, 9, 9, 9, 7, 18, 18, 18, 18, 18, 17, 18, 18, 18, 17, 19, 17, 17, 19, 17, 17, 17, 17, 20, 19, 15, 17, 18, 16, 17]"
114,82,55,2.07272727272727,1.49090909090909,"[7, 9, 8, 9, 8, 10, 8, 9, 7, 5, 7, 9, 8, 7, 9, 7, 9, 9, 7, 8, 7, 7, 8, 7, 8, 7, 9, 7, 9, 7, 8, 8, 9, 11, 8, 9, 9, 7, 7, 9, 8, 7, 7, 7, 6, 8, 8, 9, 7, 8, 18, 16, 18, 18, 18, 18, 19, 18, 17, 17, 20, 17, 18, 17, 19, 19, 18, 17, 17, 18, 18, 18, 16, 17, 18]"
93,77,52,1.78846153846154,1.48076923076923,"[7, 8, 8, 8, 6, 8, 7, 8, 7, 6, 7, 8, 9, 8, 7, 9, 8, 9, 8, 8, 9, 9, 9, 6, 7, 9, 9, 8, 7, 9, 8, 8, 9, 9, 8, 8, 10, 7, 7, 7, 7, 9, 8, 9, 8, 9, 9, 8, 8, 10, 18, 18, 18, 19, 18, 18, 19, 18, 19, 17, 18, 19, 16, 17, 19, 17, 19, 19, 16, 19, 17, 18, 20, 17, 18]"
