N=40 and K=3,,,,,
Virtual cost,Physical cost,Optimal Cost,vCost/OptimalCost,pCost/OptimalCost,Sequence
72,48,35,2.057142857142857,1.3714285714285714,[22 13  3 34  3 21  1  5 18  7]
53,37,35,1.5142857142857142,1.0571428571428572,[22 23 19  3 16 28  4  1  6 17]
71,47,35,2.0285714285714285,1.3428571428571427,[10 15 26  8 10 33 14  6 39 33]
94,50,47,2.0,1.0638297872340425,[39 12 27 16 33 22 39  7 10 16]
95,53,41,2.317073170731707,1.2926829268292683,[34 22 35 38 31  9  3 36 39 23]
60,52,33,1.8181818181818181,1.5757575757575757,[ 5  6 31 29  7  5 24 16 12 20]
68,48,33,2.0606060606060606,1.4545454545454546,[23  9 31 29 18 34 21 18 38 18]
64,60,35,1.8285714285714285,1.7142857142857142,[11 13 39 38 38 27  2 14 16 19]
35,33,28,1.25,1.1785714285714286,[33 32 14 17 28 31 33 18 23 23]
72,58,44,1.6363636363636365,1.3181818181818181,[37  3 32 28 27 32 38 35 23 23]
93,51,42,2.2142857142857144,1.2142857142857142,[ 1 35 25 23 18 35 37 23 38  5 19 15 16 27 22]
98,68,43,2.2790697674418605,1.5813953488372092,[35  3 36 29  1  8 33 37 10 11 35 28  8 33  7]
124,60,60,2.066666666666667,1.0,[17 18 36 25  7 15 12  9 32  5 21 26 15 30 32]
137,101,43,3.186046511627907,2.3488372093023258,[ 1 20 18  7  5 39 33 34  1 24 32 22 30 38 38]
102,56,50,2.04,1.12,[14 16 15 37 29 22 39 21  8  1 18 28 37 27 23]
135,65,62,2.1774193548387095,1.0483870967741935,[24 38 10 26  1  5 22 28 22  9 29  7 38 34 30]
133,79,56,2.375,1.4107142857142858,[19 12 16 18  2  3 28 33  6 37  4 27 20  2 38]
70,62,53,1.320754716981132,1.169811320754717,[11 26 14 27 13 21 15 28 15  8 37  5 27 20 26]
166,74,56,2.9642857142857144,1.3214285714285714,[26 15 15 37  4  9 18 30 12 19 29 29  7 14 36]
117,73,53,2.207547169811321,1.3773584905660377,[18 14 38 36  5 38 28 11 11  8 11 31 26 30  7]
175,87,80,2.1875,1.0875,[10  3  7 18 16  1 14  3 28  6 23 30  5 34  2 39 38 14 15 27]
144,76,68,2.1176470588235294,1.1176470588235294,[22 28  4 37 21 35 21 13 35 27 36  7 36 20 32 31 22 36 12 13]
