N,K,Virtual cost,Physical cost,Optimal Cost,vCost/OptimalCost,pCost/OptimalCost,length,sequence
20,3,79,59,19,4.15789473684211,3.10526315789474,100,"[10, 9, 10, 10, 9, 10, 10, 9, 11, 11, 11, 10, 8, 9, 10, 11, 9, 10, 11, 10, 12, 11, 9, 11, 9, 10, 9, 11, 10, 11, 11, 9, 10, 10, 11, 10, 9, 9, 10, 11, 11, 10, 9, 11, 10, 9, 10, 10, 10, 10, 10, 10, 10, 8, 10, 8, 10, 10, 11, 9, 9, 10, 10, 12, 11, 9, 10, 10, 10, 9, 9, 9, 10, 8, 8, 9, 10, 10, 9, 11, 9, 9, 11, 9, 11, 10, 10, 11, 9, 10, 11, 11, 10, 8, 12, 10, 9, 10, 11, 8]"
20,3,93,57,17,5.47058823529412,3.35294117647059,100,"[10, 10, 9, 9, 11, 10, 9, 10, 11, 9, 10, 11, 9, 9, 9, 10, 11, 10, 9, 9, 10, 9, 9, 10, 9, 9, 9, 10, 9, 9, 9, 9, 12, 11, 10, 9, 9, 10, 10, 10, 10, 10, 9, 10, 9, 10, 10, 11, 10, 9, 10, 9, 10, 9, 11, 10, 10, 11, 11, 10, 9, 10, 11, 11, 8, 10, 10, 11, 11, 8, 10, 11, 10, 11, 10, 10, 9, 10, 9, 11, 9, 8, 9, 9, 9, 11, 9, 11, 11, 10, 9, 9, 10, 11, 10, 9, 10, 11, 10, 10]"
20,3,147,88,28,5.25,3.14285714285714,150,"[10, 11, 10, 9, 10, 8, 11, 8, 10, 11, 11, 10, 11, 8, 10, 9, 8, 10, 8, 9, 11, 9, 10, 11, 8, 10, 9, 10, 10, 11, 9, 9, 11, 12, 11, 10, 11, 10, 9, 9, 11, 9, 9, 11, 10, 9, 10, 10, 11, 11, 9, 11, 8, 11, 11, 11, 8, 9, 11, 10, 10, 11, 10, 10, 9, 10, 10, 9, 10, 9, 9, 10, 10, 9, 10, 10, 10, 12, 9, 10, 11, 11, 11, 9, 10, 10, 11, 11, 11, 11, 9, 12, 10, 10, 12, 10, 10, 11, 10, 9, 11, 10, 11, 9, 10, 9, 12, 8, 10, 8, 12, 9, 10, 9, 10, 9, 10, 11, 11, 11, 12, 11, 9, 12, 9, 11, 9, 10, 11, 11, 10, 12, 11, 11, 10, 9, 12, 10, 9, 11, 9, 9, 8, 11, 9, 10, 11, 11, 11, 8]"
20,3,114,100,30,3.8,3.33333333333333,150,"[11, 11, 10, 11, 8, 11, 11, 11, 11, 10, 10, 11, 10, 10, 11, 10, 10, 10, 8, 9, 11, 10, 10, 9, 10, 9, 12, 10, 11, 9, 9, 11, 9, 10, 9, 10, 9, 11, 9, 10, 10, 11, 10, 9, 11, 10, 9, 10, 11, 8, 9, 10, 11, 9, 9, 8, 9, 10, 12, 8, 9, 9, 10, 10, 10, 9, 10, 9, 10, 11, 10, 11, 10, 10, 10, 9, 10, 9, 9, 11, 11, 9, 10, 10, 11, 10, 11, 12, 10, 10, 10, 10, 10, 10, 10, 9, 11, 11, 10, 10, 9, 10, 11, 8, 10, 11, 10, 10, 9, 11, 9, 10, 10, 9, 8, 11, 11, 9, 9, 10, 10, 10, 9, 11, 10, 10, 9, 9, 11, 9, 10, 9, 12, 12, 10, 9, 10, 9, 11, 11, 10, 9, 9, 11, 8, 9, 8, 9, 11, 11]"
20,3,145,91,25,5.8,3.64,150,"[10, 8, 9, 9, 10, 12, 10, 9, 11, 10, 10, 10, 11, 10, 10, 10, 11, 10, 10, 10, 10, 10, 11, 10, 9, 10, 11, 11, 10, 10, 10, 10, 12, 9, 9, 10, 9, 11, 10, 11, 10, 11, 10, 10, 9, 11, 10, 10, 9, 9, 10, 11, 10, 11, 10, 9, 10, 9, 11, 10, 10, 10, 11, 8, 9, 11, 10, 9, 11, 7, 11, 10, 9, 9, 11, 9, 10, 10, 10, 10, 11, 8, 9, 9, 10, 8, 10, 9, 10, 10, 10, 10, 10, 11, 10, 8, 11, 11, 11, 9, 10, 9, 10, 9, 9, 10, 10, 10, 11, 9, 11, 11, 11, 7, 11, 10, 11, 9, 9, 10, 10, 10, 9, 10, 11, 9, 11, 10, 9, 10, 10, 9, 11, 10, 9, 10, 11, 10, 11, 9, 10, 10, 9, 11, 10, 10, 11, 9, 10, 12]"
20,3,134,90,28,4.78571428571429,3.21428571428571,150,"[10, 9, 11, 12, 9, 11, 9, 10, 9, 11, 10, 10, 10, 10, 10, 11, 9, 9, 10, 10, 10, 10, 9, 10, 10, 8, 8, 9, 11, 10, 9, 10, 11, 11, 9, 9, 9, 10, 10, 9, 10, 9, 9, 9, 8, 12, 8, 12, 10, 11, 11, 11, 9, 10, 10, 10, 11, 11, 9, 10, 9, 11, 9, 10, 11, 11, 10, 10, 9, 11, 9, 9, 8, 11, 11, 9, 11, 9, 10, 10, 10, 12, 12, 10, 11, 11, 8, 10, 10, 10, 10, 10, 10, 10, 9, 10, 11, 9, 9, 9, 10, 11, 10, 10, 11, 10, 10, 9, 9, 10, 8, 10, 10, 10, 10, 11, 10, 10, 11, 11, 9, 11, 11, 10, 9, 11, 9, 10, 8, 8, 11, 10, 10, 8, 11, 10, 8, 10, 11, 11, 9, 11, 10, 11, 9, 10, 10, 10, 9, 10]"
20,3,190,158,46,4.1304347826087,3.43478260869565,200,"[11, 11, 10, 9, 11, 10, 9, 11, 10, 9, 10, 9, 11, 11, 10, 11, 11, 10, 9, 10, 10, 10, 9, 10, 10, 10, 9, 8, 9, 10, 10, 9, 8, 12, 11, 11, 11, 10, 10, 11, 10, 9, 9, 10, 8, 9, 10, 9, 11, 10, 10, 11, 10, 9, 10, 11, 11, 10, 9, 11, 8, 10, 10, 11, 11, 11, 10, 8, 10, 11, 12, 10, 9, 10, 9, 9, 10, 10, 12, 10, 11, 9, 10, 10, 12, 8, 10, 10, 10, 10, 9, 9, 12, 11, 12, 9, 11, 9, 9, 11, 11, 10, 10, 10, 11, 9, 10, 11, 9, 11, 11, 9, 10, 9, 10, 10, 9, 11, 9, 11, 11, 11, 9, 10, 11, 12, 9, 11, 10, 9, 9, 10, 9, 11, 10, 10, 9, 10, 11, 10, 12, 9, 11, 9, 9, 10, 10, 10, 9, 9, 11, 8, 10, 8, 10, 11, 10, 8, 9, 11, 10, 12, 9, 9, 9, 11, 9, 10, 8, 10, 12, 10, 8, 12, 11, 10, 10, 11, 8, 10, 9, 9, 10, 9, 9, 10, 9, 11, 10, 9, 11, 11, 10, 10, 11, 9, 10, 10, 11, 10]"
20,3,181,153,49,3.69387755102041,3.12244897959184,200,"[10, 12, 9, 10, 11, 11, 9, 11, 11, 10, 11, 9, 11, 10, 10, 11, 11, 9, 9, 9, 9, 11, 9, 10, 11, 8, 11, 10, 11, 10, 8, 10, 10, 12, 10, 9, 9, 9, 9, 11, 11, 9, 10, 11, 10, 10, 8, 10, 10, 10, 11, 10, 8, 11, 12, 10, 10, 11, 11, 10, 10, 11, 10, 9, 9, 9, 10, 9, 11, 12, 10, 12, 10, 11, 9, 10, 9, 11, 10, 10, 11, 9, 9, 10, 10, 8, 10, 9, 11, 11, 9, 12, 11, 10, 10, 10, 7, 10, 10, 11, 9, 10, 11, 10, 10, 11, 11, 9, 11, 10, 10, 9, 9, 10, 9, 9, 11, 11, 9, 11, 11, 10, 11, 9, 10, 11, 10, 9, 11, 9, 9, 10, 9, 10, 11, 10, 11, 8, 12, 10, 10, 10, 9, 10, 9, 10, 11, 9, 10, 9, 11, 10, 9, 11, 10, 10, 10, 10, 9, 11, 11, 10, 8, 9, 8, 10, 10, 11, 10, 11, 9, 11, 10, 10, 10, 10, 8, 10, 10, 9, 10, 11, 10, 10, 9, 11, 9, 9, 11, 11, 10, 9, 12, 10, 8, 9, 10, 10, 10, 9]"
20,3,251,163,52,4.82692307692308,3.13461538461538,200,"[10, 8, 10, 10, 10, 10, 10, 9, 11, 9, 11, 10, 9, 10, 11, 9, 10, 10, 11, 9, 10, 10, 10, 10, 9, 11, 11, 11, 11, 10, 10, 10, 11, 10, 10, 10, 11, 10, 11, 9, 10, 11, 11, 12, 11, 9, 8, 9, 11, 11, 9, 9, 9, 11, 9, 10, 10, 11, 12, 10, 11, 10, 10, 11, 9, 10, 12, 10, 11, 11, 12, 11, 9, 10, 11, 8, 9, 8, 9, 10, 10, 9, 8, 9, 11, 10, 10, 9, 11, 11, 10, 11, 9, 11, 10, 9, 10, 10, 11, 10, 11, 11, 11, 10, 11, 9, 11, 12, 10, 8, 11, 11, 11, 9, 11, 11, 10, 9, 11, 11, 10, 12, 10, 9, 8, 10, 8, 11, 11, 10, 8, 11, 12, 11, 11, 10, 8, 9, 8, 11, 11, 9, 10, 9, 10, 11, 10, 11, 10, 11, 12, 11, 8, 10, 10, 9, 10, 10, 11, 10, 9, 12, 9, 9, 9, 10, 9, 10, 12, 10, 11, 10, 11, 11, 11, 13, 10, 9, 10, 10, 11, 11, 11, 10, 11, 11, 9, 10, 11, 12, 11, 11, 9, 10, 12, 9, 10, 11, 9, 8]"
20,3,133,119,39,3.41025641025641,3.05128205128205,200,"[12, 8, 8, 11, 11, 10, 10, 9, 10, 10, 10, 9, 9, 10, 10, 11, 11, 11, 10, 10, 9, 9, 9, 10, 9, 7, 10, 10, 9, 11, 11, 10, 10, 9, 11, 10, 10, 11, 11, 11, 11, 11, 11, 11, 9, 10, 11, 12, 10, 10, 11, 9, 9, 10, 10, 9, 9, 10, 11, 11, 9, 12, 9, 9, 11, 10, 8, 11, 10, 12, 9, 11, 10, 11, 10, 11, 10, 9, 9, 8, 8, 9, 11, 10, 9, 10, 12, 11, 10, 11, 9, 9, 12, 9, 10, 11, 11, 11, 10, 11, 11, 9, 10, 10, 9, 11, 11, 9, 11, 10, 10, 9, 10, 10, 10, 10, 9, 10, 9, 11, 12, 10, 11, 10, 9, 10, 10, 9, 10, 9, 11, 10, 8, 9, 11, 11, 11, 9, 10, 11, 11, 10, 10, 10, 11, 11, 9, 11, 9, 10, 9, 10, 11, 7, 10, 10, 10, 10, 10, 7, 12, 11, 11, 10, 11, 9, 11, 10, 9, 9, 9, 10, 11, 11, 8, 11, 11, 10, 10, 11, 10, 10, 8, 11, 10, 10, 9, 11, 10, 10, 9, 11, 9, 9, 10, 11, 9, 11, 11, 10]"
