N=20 and K=3,,,,,
Virtual cost,Physical cost,Optimal Cost,vCost/OptimalCost,pCost/OptimalCost,Sequence
18,14,9,2.0,1.5555555555555556,"[9, 10, 10, 8, 12, 11, 9, 12, 12, 11, 9, 10, 9, 10, 9, 10, 10, 9, 8, 10]"
13,11,7,1.8571428571428572,1.5714285714285714,"[10, 11, 8, 10, 10, 10, 10, 9, 9, 8, 8, 11, 9, 10, 11, 11, 10, 9, 10, 12]"
13,11,9,1.4444444444444444,1.2222222222222223,"[10, 11, 10, 10, 10, 12, 11, 10, 10, 10, 10, 8, 10, 11, 11, 8, 12, 11, 8, 11]"
20,16,10,2.0,1.6,"[10, 8, 11, 10, 10, 7, 11, 11, 10, 12, 10, 9, 9, 9, 10, 10, 12, 11, 10, 9]"
16,14,8,2.0,1.75,"[11, 10, 10, 11, 9, 10, 9, 9, 8, 10, 8, 9, 9, 10, 13, 11, 9, 9, 10, 10]"
14,12,9,1.5555555555555556,1.3333333333333333,"[10, 12, 9, 10, 10, 11, 10, 10, 11, 11, 8, 9, 10, 10, 11, 9, 10, 10, 10, 10]"
8,8,5,1.6,1.6,"[12, 9, 11, 11, 10, 10, 9, 10, 10, 9, 9, 9, 9, 9, 11, 9, 11, 9, 10, 11]"
22,20,13,1.6923076923076923,1.5384615384615385,"[10, 11, 10, 11, 9, 11, 11, 11, 10, 11, 10, 10, 10, 10, 11, 10, 8, 8, 11, 10]"
14,12,8,1.75,1.5,"[9, 12, 10, 9, 11, 11, 11, 10, 11, 11, 12, 11, 10, 10, 10, 10, 10, 10, 11, 9]"
24,18,10,2.4,1.8,"[11, 10, 10, 9, 10, 9, 9, 11, 10, 12, 9, 9, 10, 11, 8, 12, 11, 9, 11, 9]"
32,32,7,4.571428571428571,4.571428571428571,"[9, 9, 11, 11, 9, 10, 11, 9, 11, 10, 9, 11, 11, 10, 9, 10, 13, 9, 10, 10, 9, 9, 10, 11, 9, 10, 13, 9, 10, 10, 11, 10, 11, 9, 12, 9, 10, 10, 9, 10, 10, 11, 10, 10, 10, 10, 11, 11, 9, 10]"
29,29,17,1.7058823529411764,1.7058823529411764,"[9, 10, 11, 12, 9, 10, 8, 10, 11, 10, 10, 10, 11, 10, 10, 12, 9, 9, 11, 9, 10, 10, 10, 9, 10, 11, 10, 9, 8, 11, 9, 10, 11, 11, 10, 9, 10, 9, 10, 9, 11, 11, 9, 10, 9, 9, 11, 9, 10, 9]"
52,44,19,2.736842105263158,2.3157894736842106,"[9, 11, 10, 9, 10, 10, 9, 10, 12, 11, 9, 10, 12, 9, 10, 9, 9, 10, 10, 8, 12, 9, 9, 9, 10, 11, 10, 10, 11, 9, 9, 10, 8, 9, 12, 11, 12, 9, 10, 9, 11, 13, 11, 9, 10, 8, 10, 10, 9, 10]"
28,26,11,2.5454545454545454,2.3636363636363638,"[9, 10, 11, 13, 10, 11, 11, 9, 10, 12, 10, 10, 9, 9, 10, 11, 11, 11, 10, 10, 11, 9, 10, 11, 9, 10, 10, 9, 9, 10, 10, 12, 11, 10, 9, 11, 11, 9, 10, 10, 11, 10, 11, 8, 10, 10, 10, 9, 9, 9]"
48,42,22,2.1818181818181817,1.9090909090909092,"[10, 11, 12, 9, 11, 10, 9, 10, 11, 9, 9, 10, 9, 10, 10, 9, 10, 8, 11, 9, 10, 10, 10, 8, 7, 12, 10, 11, 10, 10, 10, 11, 10, 11, 8, 10, 9, 8, 10, 11, 10, 10, 11, 10, 11, 9, 8, 8, 11, 10]"
36,32,16,2.25,2.0,"[11, 10, 9, 9, 12, 10, 9, 10, 10, 12, 10, 10, 11, 9, 10, 11, 9, 9, 11, 9, 10, 10, 10, 10, 11, 11, 9, 12, 10, 8, 10, 12, 10, 10, 10, 9, 9, 10, 10, 9, 9, 8, 11, 12, 10, 9, 13, 11, 10, 10]"
19,17,9,2.111111111111111,1.8888888888888888,"[11, 10, 10, 9, 12, 11, 12, 10, 11, 11, 11, 10, 11, 9, 10, 10, 10, 11, 12, 11, 11, 11, 10, 8, 10, 9, 10, 10, 9, 9, 9, 9, 9, 9, 10, 11, 10, 11, 10, 9, 11, 11, 8, 10, 10, 9, 9, 8, 9, 11]"
27,25,11,2.4545454545454546,2.272727272727273,"[9, 8, 9, 9, 9, 10, 10, 11, 9, 11, 10, 9, 10, 11, 11, 9, 10, 9, 10, 10, 12, 9, 10, 11, 10, 11, 10, 10, 9, 10, 11, 8, 11, 12, 8, 12, 10, 12, 10, 9, 11, 9, 9, 11, 9, 10, 9, 10, 9, 10]"
33,29,19,1.736842105263158,1.5263157894736843,"[11, 10, 11, 9, 11, 11, 10, 11, 11, 9, 9, 10, 10, 11, 10, 10, 10, 7, 9, 11, 10, 11, 10, 11, 8, 12, 10, 10, 10, 11, 11, 9, 10, 12, 9, 11, 10, 10, 12, 11, 10, 10, 9, 10, 10, 10, 10, 12, 11, 10]"
38,32,20,1.9,1.6,"[12, 11, 9, 9, 10, 9, 9, 10, 10, 10, 10, 11, 10, 12, 10, 10, 10, 10, 9, 10, 8, 10, 10, 10, 10, 10, 10, 11, 9, 10, 9, 10, 9, 10, 10, 8, 11, 8, 8, 10, 9, 11, 11, 10, 11, 9, 10, 9, 10, 9]"
68,50,21,3.238095238095238,2.380952380952381,"[10, 10, 11, 12, 9, 11, 10, 10, 9, 10, 9, 9, 10, 10, 10, 8, 10, 11, 10, 11, 9, 10, 10, 11, 11, 10, 9, 10, 11, 10, 10, 8, 8, 10, 10, 10, 8, 10, 10, 10, 11, 12, 9, 9, 9, 11, 10, 12, 10, 9, 9, 12, 11, 7, 10, 11, 9, 10, 10, 12, 11, 10, 9, 10, 12, 9, 10, 12, 11, 9, 10, 9, 10, 8, 8, 10, 9, 10, 10, 10, 10, 10, 10, 10, 9, 10, 10, 10, 9, 11, 11, 10, 7, 10, 11, 9, 11, 10, 10, 9]"
43,37,14,3.0714285714285716,2.642857142857143,"[10, 9, 11, 10, 10, 10, 9, 9, 10, 10, 10, 9, 9, 10, 9, 10, 9, 11, 11, 9, 11, 10, 10, 9, 10, 10, 10, 9, 9, 9, 12, 11, 10, 11, 11, 10, 9, 10, 10, 10, 10, 9, 11, 10, 11, 9, 9, 10, 12, 9, 10, 10, 10, 10, 13, 10, 10, 11, 9, 9, 11, 11, 11, 10, 9, 12, 10, 9, 10, 10, 11, 9, 9, 10, 9, 11, 12, 11, 11, 8, 8, 10, 9, 12, 11, 11, 11, 11, 10, 9, 11, 11, 9, 10, 9, 10, 9, 10, 9, 8]"
36,30,12,3.0,2.5,"[10, 11, 8, 9, 10, 12, 10, 11, 10, 8, 10, 10, 8, 10, 9, 11, 11, 8, 9, 9, 10, 11, 10, 9, 8, 11, 10, 10, 10, 10, 8, 11, 9, 10, 10, 8, 10, 10, 12, 10, 11, 11, 10, 11, 11, 9, 11, 10, 10, 10, 10, 9, 11, 11, 10, 10, 9, 8, 11, 11, 9, 10, 9, 10, 11, 8, 10, 10, 9, 11, 9, 11, 10, 10, 10, 10, 9, 11, 9, 10, 10, 9, 12, 9, 10, 11, 9, 10, 10, 9, 11, 10, 12, 10, 8, 10, 8, 11, 10, 10]"
53,45,15,3.533333333333333,3.0,"[9, 10, 12, 10, 9, 10, 10, 9, 11, 12, 10, 10, 11, 9, 8, 10, 9, 8, 10, 10, 9, 9, 10, 11, 10, 8, 12, 8, 8, 11, 13, 11, 10, 10, 10, 9, 11, 10, 10, 12, 10, 9, 11, 11, 9, 10, 10, 9, 11, 10, 11, 10, 10, 9, 10, 10, 10, 12, 10, 10, 9, 10, 9, 8, 10, 11, 12, 12, 11, 10, 9, 8, 9, 10, 10, 11, 10, 8, 10, 12, 11, 11, 10, 11, 11, 11, 10, 9, 10, 11, 9, 9, 10, 10, 11, 11, 10, 10, 12, 8]"
61,57,21,2.9047619047619047,2.7142857142857144,"[9, 9, 10, 12, 10, 11, 12, 9, 11, 9, 10, 9, 11, 10, 10, 10, 9, 10, 10, 10, 8, 11, 10, 11, 8, 9, 9, 10, 10, 9, 12, 10, 12, 9, 11, 10, 9, 11, 9, 12, 9, 10, 10, 10, 11, 10, 8, 11, 9, 9, 9, 11, 10, 8, 10, 11, 11, 9, 11, 10, 10, 10, 12, 10, 9, 10, 10, 11, 9, 11, 12, 11, 10, 9, 11, 9, 11, 9, 12, 10, 10, 11, 10, 9, 10, 9, 9, 11, 9, 10, 11, 10, 11, 10, 9, 9, 11, 11, 12, 10]"
50,44,15,3.3333333333333335,2.933333333333333,"[10, 10, 10, 9, 11, 9, 11, 12, 11, 11, 11, 10, 10, 10, 9, 11, 13, 9, 11, 11, 11, 11, 9, 9, 10, 10, 11, 10, 9, 10, 8, 10, 10, 10, 10, 9, 11, 9, 9, 10, 8, 9, 11, 9, 10, 11, 10, 10, 11, 10, 10, 10, 10, 10, 9, 10, 11, 12, 9, 10, 9, 11, 10, 11, 11, 11, 7, 9, 11, 11, 11, 10, 9, 9, 10, 8, 10, 9, 9, 10, 10, 11, 10, 12, 11, 9, 10, 10, 12, 8, 9, 10, 11, 10, 10, 9, 10, 10, 9, 10]"
48,36,14,3.4285714285714284,2.5714285714285716,"[9, 10, 11, 10, 12, 10, 10, 9, 10, 10, 10, 12, 11, 11, 11, 11, 12, 11, 9, 9, 11, 9, 10, 8, 9, 10, 10, 10, 10, 11, 7, 10, 10, 10, 12, 11, 11, 9, 10, 9, 12, 11, 10, 9, 10, 11, 10, 9, 10, 12, 11, 9, 9, 8, 10, 11, 11, 8, 10, 12, 9, 9, 11, 9, 10, 10, 9, 9, 11, 9, 10, 9, 9, 9, 10, 10, 9, 11, 10, 9, 10, 12, 10, 10, 10, 10, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 9, 10, 11]"
43,43,12,3.5833333333333335,3.5833333333333335,"[10, 11, 9, 10, 10, 10, 9, 10, 11, 9, 10, 8, 10, 10, 11, 9, 10, 9, 11, 10, 10, 9, 11, 12, 9, 10, 12, 12, 9, 10, 9, 9, 8, 11, 10, 10, 9, 10, 11, 10, 11, 9, 11, 10, 9, 11, 9, 9, 11, 11, 12, 10, 9, 10, 11, 9, 11, 8, 9, 10, 8, 11, 8, 10, 9, 12, 10, 11, 11, 10, 9, 9, 11, 9, 12, 9, 10, 12, 11, 6, 9, 12, 10, 10, 12, 10, 10, 10, 12, 10, 11, 10, 11, 10, 11, 9, 10, 11, 11, 9]"
45,33,9,5.0,3.6666666666666665,"[10, 9, 11, 12, 10, 10, 11, 12, 9, 10, 10, 9, 11, 9, 10, 9, 8, 11, 12, 11, 11, 11, 10, 10, 10, 10, 12, 8, 8, 11, 10, 9, 11, 10, 12, 9, 10, 9, 11, 12, 11, 10, 10, 9, 9, 10, 10, 10, 9, 10, 10, 11, 9, 11, 11, 8, 9, 10, 9, 10, 9, 9, 10, 10, 10, 10, 11, 10, 7, 10, 11, 8, 11, 11, 11, 10, 10, 10, 10, 10, 10, 11, 10, 10, 9, 10, 10, 12, 9, 11, 10, 10, 12, 11, 10, 11, 10, 11, 11, 10]"
72,58,23,3.130434782608696,2.5217391304347827,"[9, 9, 9, 10, 10, 9, 8, 10, 10, 9, 11, 12, 11, 11, 9, 10, 10, 11, 10, 10, 10, 10, 10, 10, 9, 9, 11, 10, 10, 11, 10, 11, 10, 9, 11, 10, 10, 10, 11, 11, 10, 8, 8, 9, 9, 10, 9, 10, 10, 12, 10, 9, 9, 10, 8, 11, 10, 10, 12, 9, 11, 10, 10, 10, 10, 10, 11, 10, 10, 10, 11, 11, 13, 9, 11, 10, 10, 10, 8, 10, 10, 10, 9, 11, 11, 9, 11, 10, 12, 10, 11, 11, 10, 10, 11, 10, 11, 9, 10, 9]"
99,87,26,3.8076923076923075,3.3461538461538463,"[11, 10, 11, 11, 12, 10, 11, 10, 10, 11, 9, 9, 11, 9, 10, 11, 11, 10, 9, 8, 11, 11, 11, 10, 9, 9, 12, 10, 10, 10, 9, 9, 10, 10, 8, 10, 9, 11, 9, 11, 10, 7, 10, 10, 12, 8, 9, 11, 8, 10, 10, 11, 11, 10, 8, 10, 9, 10, 12, 11, 11, 10, 9, 11, 9, 9, 12, 10, 11, 10, 10, 10, 10, 9, 10, 10, 11, 11, 10, 10, 10, 9, 12, 9, 10, 8, 10, 9, 9, 11, 12, 11, 11, 9, 11, 10, 10, 8, 10, 10, 9, 9, 9, 11, 11, 10, 9, 11, 10, 10, 10, 11, 10, 10, 9, 8, 11, 9, 10, 10, 10, 10, 9, 10, 9, 10, 9, 9, 9, 7, 10, 12, 9, 11, 8, 10, 9, 9, 9, 9, 10, 10, 11, 11, 12, 12, 10, 11, 11, 9, 11, 9, 9, 10, 10, 10, 9, 10, 10, 10, 9, 10, 10, 8, 9, 9, 10, 11, 9, 10, 11, 9, 10, 10, 9, 11, 13, 10, 10, 11, 8, 10, 10, 9, 11, 10, 10, 9, 9, 10, 9, 10, 11, 10, 10, 9, 10, 9, 10, 11]"
114,84,22,5.181818181818182,3.8181818181818183,"[9, 10, 9, 10, 12, 11, 9, 9, 9, 9, 11, 10, 8, 11, 9, 9, 10, 9, 11, 10, 11, 10, 11, 11, 10, 10, 10, 11, 10, 9, 9, 10, 9, 9, 11, 10, 13, 11, 9, 10, 11, 9, 9, 11, 12, 9, 9, 11, 11, 10, 11, 11, 8, 11, 12, 10, 8, 12, 9, 9, 13, 10, 10, 10, 10, 11, 10, 11, 11, 10, 8, 10, 11, 10, 11, 10, 9, 11, 11, 10, 9, 12, 10, 10, 11, 11, 11, 10, 9, 11, 10, 9, 8, 13, 11, 11, 10, 10, 10, 10, 10, 10, 9, 9, 9, 12, 11, 10, 12, 10, 9, 10, 9, 11, 11, 11, 10, 12, 11, 9, 10, 12, 10, 12, 9, 12, 12, 10, 10, 11, 13, 9, 12, 11, 9, 9, 11, 10, 8, 10, 11, 9, 12, 11, 9, 11, 9, 8, 11, 11, 10, 10, 9, 11, 9, 10, 9, 10, 10, 10, 9, 11, 11, 8, 9, 11, 8, 11, 10, 11, 10, 13, 10, 9, 9, 12, 9, 9, 10, 11, 10, 9, 10, 11, 10, 10, 11, 10, 9, 10, 9, 10, 10, 8, 8, 9, 10, 10, 9, 10]"
