N=20 and K=3,,,,,
Virtual cost,Physical cost,Optimal Cost,vCost/OptimalCost,pCost/OptimalCost,Sequence
25,23,17,1.4705882352941178,1.3529411764705883,"[10, 9, 9, 12, 10, 9, 11, 11, 10, 9]"
15,15,15,1.0,1.0,"[11, 11, 9, 10, 11, 9, 9, 10, 11, 10]"
12,12,8,1.5,1.5,"[10, 9, 10, 10, 10, 8, 10, 9, 8, 10]"
16,16,16,1.0,1.0,"[11, 11, 9, 10, 9, 10, 11, 9, 10, 11]"
11,9,7,1.5714285714285714,1.2857142857142858,"[10, 9, 11, 9, 10, 10, 9, 10, 10, 9]"
15,15,11,1.3636363636363635,1.3636363636363635,"[10, 11, 10, 12, 9, 10, 10, 10, 9, 12]"
14,14,12,1.1666666666666667,1.1666666666666667,"[8, 10, 10, 11, 9, 9, 11, 11, 8, 11]"
6,6,6,1.0,1.0,"[11, 11, 9, 10, 10, 10, 10, 11, 10, 9]"
39,39,24,1.625,1.625,"[12, 10, 10, 9, 9, 11, 11, 11, 12, 10]"
9,5,5,1.8,1.0,"[10, 10, 10, 11, 9, 10, 12, 12, 9, 9]"
40,40,26,1.5384615384615385,1.5384615384615385,"[12, 9, 9, 11, 12, 11, 10, 10, 11, 11, 8, 11, 10, 9, 10, 9, 11, 9, 11, 8]"
37,35,29,1.2758620689655173,1.206896551724138,"[11, 12, 11, 10, 13, 9, 10, 11, 9, 10, 10, 9, 10, 7, 10, 9, 11, 9, 11, 11]"
14,12,9,1.5555555555555556,1.3333333333333333,"[11, 10, 11, 9, 8, 10, 9, 10, 11, 10, 10, 9, 12, 11, 11, 11, 10, 10, 8, 8]"
19,17,12,1.5833333333333333,1.4166666666666667,"[10, 10, 10, 10, 10, 10, 9, 10, 9, 8, 10, 12, 11, 8, 8, 9, 10, 8, 9, 12]"
50,48,30,1.6666666666666667,1.6,"[10, 10, 11, 10, 11, 9, 11, 11, 11, 7, 11, 9, 10, 10, 9, 9, 10, 8, 9, 11]"
