N=100 and K=5,,,,,
Virtual cost,Physical cost,Optimal Cost,vCost/OptimalCost,pCost/OptimalCost,Sequence
110,80,62,1.7741935483870968,1.2903225806451613,[42 39  3 27 13 75  2 44 74 25]
110,66,66,1.6666666666666667,1.0,[53 27  6  6 94 74 44 69 19 18]
91,71,63,1.4444444444444444,1.126984126984127,[68 24 11 84 68 46  7 68 75 59]
131,93,70,1.8714285714285714,1.3285714285714285,[98 87 22 59 19 30 16 95 47 67]
103,53,53,1.9433962264150944,1.0,[13 64  4 68 45 87 39 74 42 42]
113,59,51,2.215686274509804,1.1568627450980393,[68 28 53 70 30  1  2 62 79 81]
134,64,53,2.5283018867924527,1.2075471698113207,[10 91 11 53 46 84 12 34 92 11]
90,52,50,1.8,1.04,[96 50 86 81 19  3 30 95 46 52]
124,70,60,2.066666666666667,1.1666666666666667,[42 38 21 62 60 75 97 46 20 68]
148,114,113,1.3097345132743363,1.008849557522124,[73 32 50 20  9 78 93 91 44 18]
216,132,110,1.9636363636363636,1.2,[17  4 52 41 52  4  4 14 68 85  8 51 88 23 80 76 63  3 23 85]
307,149,139,2.20863309352518,1.0719424460431655,[46 36 19 67 96 14 38 49 65  4 86 18 33 92 52 25 43 61 88 26]
271,147,129,2.10077519379845,1.1395348837209303,[ 8 87 66 92 20 94 85 63 18 47 49  1 35 28 98 58 57 18 34 99]
195,129,117,1.6666666666666667,1.1025641025641026,[99 13 69 29 61 53 64 61 46  2 62 35 47 18 28 89 86 47 94 97]
200,134,98,2.0408163265306123,1.3673469387755102,[18 59  3 49 34 33 31 97 81 50 56 49  9 18 54 52 77 40 17 50]
296,212,152,1.9473684210526316,1.394736842105263,[53 22 76 74 52 98 34 78  3 21 43 18 68 56  4 55 37 80 30  7]
148,94,84,1.7619047619047619,1.119047619047619,[73  7 19 23 75 99 62 70 55 32 73 75 30 21 72 58 57 23 42 30]
189,141,103,1.8349514563106797,1.3689320388349515,[60 42 36 46 73 78 51  3 80 58 20 41 23 85 22 23 19 84 66 95]
289,193,135,2.140740740740741,1.4296296296296296,[97 60 17 19  4 84 53 52 97 61 95 51 69 95  8 75 65 35  9 20]
285,181,134,2.126865671641791,1.3507462686567164,[21  4 70 84 42 64 76 24 90 73  6 21 15 35 71 68 69 84 55 49]
671,397,264,2.5416666666666665,1.503787878787879,"[22 80 94 19 86 31 95 59 59 37 37 70 89 42 44 44 28 79 91 42 40 59 20 99
 38 41 51 64 51 48  7 58 22 57 78 85 63 46 45  6 13 88 20 51 73 44 34 51
 91 30]"
581,315,218,2.665137614678899,1.444954128440367,"[ 5 62 77 60  5 96 67 13 47 53 36  5 62 56 21 94 21 44 96 58 61 40 23 44
 99 60 98 24  6 21 92 63 73 71  7 22 50 27 28 52 91 74 67 90 21 33 84 21
 76  9]"
