,,,,,
Virtual cost,Physical cost,Optimal Cost,vCost/OptimalCost,pCost/OptimalCost,Sequence
N=20 and K=3,,,,,
58,58,10,5.8,5.8,"[14, 12, 14, 12, 14, 12, 14, 1, 14, 12, 14, 12, 14, 12, 14, 1, 14, 12, 14, 12]"
31,31,8,3.875,3.875,"[18, 13, 12, 13, 12, 13, 12, 13, 12, 13, 12, 13, 18, 13, 12, 13, 12, 13, 12, 13]"
31,31,9,3.4444444444444446,3.4444444444444446,"[3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 4, 3, 16, 3, 4, 3, 4]"
76,76,7,10.857142857142858,10.857142857142858,"[16, 1, 4, 1, 16, 1, 4, 1, 4, 1, 16, 1, 4, 1, 4, 16, 1, 4, 1, 16]"
25,25,8,3.125,3.125,"[6, 7, 6, 4, 6, 7, 6, 7, 6, 4, 6, 7, 6, 7, 6, 4, 6, 7, 6, 7]"
25,25,6,4.166666666666667,4.166666666666667,"[2, 3, 2, 3, 2, 3, 2, 3, 2, 3, 7, 3, 2, 3, 2, 3, 2, 3, 2, 3]"
1,1,1,1.0,1.0,"[20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20, 20]"
28,28,7,4.0,4.0,"[2, 3, 2, 3, 2, 3, 2, 3, 2, 18, 2, 3, 2, 3, 2, 3, 2, 3, 2, 18]"
38,38,5,7.6,7.6,"[11, 9, 11, 13, 11, 9, 11, 13, 11, 9, 11, 13, 11, 9, 11, 13, 11, 9, 11, 13]"
29,29,7,4.142857142857143,4.142857142857143,"[7, 4, 3, 4, 3, 4, 3, 4, 7, 4, 3, 4, 3, 4, 3, 4, 7, 4, 3, 4]"
116,116,5,23.2,23.2,"[10, 6, 2, 6, 10, 6, 2, 6, 10, 6, 2, 6, 10, 6, 2, 6, 10, 6, 2, 6, 10, 6, 2, 6, 10, 6, 2, 6, 10, 6]"
107,107,9,11.88888888888889,11.88888888888889,"[11, 8, 11, 16, 11, 8, 11, 8, 11, 16, 11, 8, 11, 8, 11, 16, 11, 8, 11, 16, 11, 8, 11, 8, 11, 16, 11, 8, 11, 8]"
29,29,6,4.833333333333333,4.833333333333333,"[16, 15, 14, 15, 16, 15, 14, 15, 16, 15, 14, 15, 16, 15, 14, 15, 16, 15, 14, 15, 16, 15, 14, 15, 16, 15, 14, 15, 16, 15]"
